#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
140,"Over It","Future Nobodies",45,180,"darkwave, post-punk, cold wave","Electronic, Rock","Apasionada / Over It",2022-11-11,02:49,41,91,4,58,68,0,20,-9,C♯/D♭,4,2025-05-26,3Vkl2lLObnQ9LDohDopxHH,"Future Nobodies",3B,TCAGO2248043
141,"Dead Enough for Life","Icon Of Coil",33,135,"ebm, industrial, synthpop, darkwave, industrial rock, industrial metal","Electronic, Rock, Metal, Pop","Machines Are Us",2005-11-08,05:05,57,94,0,1,90,0,10,-6,F#/G♭,4,2025-05-26,2Xx20vRV2vFtV6y5kTG84F,"Out of Line Music",2B,DEBZ70400062
142,"Shadows","In Mitra Medusa Inri",9,120,"deathrock, gothic rock, darkwave, cold wave, ebm","Electronic, Rock","Second Life",2024-08-02,04:27,56,70,2,59,19,0,10,-10,F,4,2025-05-26,2tVckCoRVU11Hdru80fqSo,"Roaring Disc Records",7B,DERJ62100189
143,"Koca Bir Saçmalık","Jakuzi",65,135,"darkwave","Electronic","Fantezi Müzik",2017-03-24,04:12,49,88,3,90,51,0,30,-7,F,4,2025-05-26,0vWzFgVUxaDHHbGhmjYWm7,"City Slang",7B,DED621700057
144,"Wonderland","Kalandra",51,112,"","","The Line",2020-10-23,05:08,27,36,45,5,4,0,10,-12,C♯/D♭ minor,4,2025-05-26,2osUTKU84Wz5dcQkTg5MUJ,"By Norse Music",12A,NONAT2001090
145,"Jonny Boy","Kite",42,115,"ebm, synthpop","Electronic, Pop","III",2010-09-22,03:25,72,73,3,12,72,0,0,-7,A minor,4,2025-05-26,0iI6GVebz6tzoffrwx1YjG,"Dais Records",8A,SEYFX1000601
146,"Math & Emotion - The Square Root of One","Klangstabil",21,125,"ebm, industrial, darkwave, cold wave","Electronic, Rock","Math & Emotion",2008-10-16,04:46,48,66,0,83,37,0,10,-7,D,4,2025-05-26,2Wgx4H2yq2m3zmramzTWPL,"ant-zen",10B,USI4R0813698
147,"Navy Light","Labyrinth Ear",53,130,"witch house, darkwave, cold wave","Electronic, Rock","Oak",2010-03-08,03:07,75,70,0,50,89,0,10,-10,B minor,4,2025-05-26,6o43Gi1cX7Nyi6koSkwIBc,"LE Records",10A,GBLFP1140151
148,"Night in June","Linear Movement",26,87,"cold wave, darkwave, synthpop, post-punk, ebm","Electronic, Rock, Pop","Cold Waves and Minimal Electronics Vol. 1",2010-03-22,04:39,55,78,2,55,57,0,10,-5,B minor,4,2025-05-26,4YtEA63UG4trqJ6MZoBZsc,"Angular Recording Corporation",10A,GBHYU0900135
149,"Seven Souls - Remastered","Lone Assembly",40,135,"darkwave, cold wave, post-punk","Electronic, Rock","That Never Happened",2024-04-19,03:25,47,81,0,70,19,0,30,-12,F minor,4,2025-05-26,2psvVPVllVAmzyLO0CVXf5,"Lone Assembly",4A,QZHN52432414
150,"Angst","Lovataraxx",22,148,"cold wave, darkwave, post-punk, deathrock, ebm, gothic rock","Electronic, Rock","Hébéphrénie",2019-11-18,04:17,56,78,4,85,87,0,10,-8,B minor,4,2025-05-26,2uOZD59McNkKztPUhPLnYg,"UPR",10A,ITR831990103
151,"Stumme Schreie","L'âme Immortelle",30,125,"ebm, darkwave, industrial, gothic rock, gothic metal, mittelalter-metal, industrial rock, industrial metal","Electronic, Metal, Rock","Gezeiten",2004-09-20,03:32,59,91,0,0,21,0,10,-3,B minor,4,2025-05-26,1Eh1drB2MXl3GnDlloYPFx,"Trisol",10A,DEZ901500668
152,"Danse de travers","Mode In Gliany",7,119,"cold wave","Electronic, Rock","Danses de travers",2018-06-30,04:13,54,89,0,87,53,0,40,-5,F,4,2025-05-26,0SiNNx26T6D28hjIxe1jbh,"MIG",7B,QZTBB2456687
153,"Hot on the Heels of Love","Throbbing Gristle",30,120,"industrial, experimental, industrial rock, noise rock, avantgarde, post-punk, ebm","Electronic, Jazz, Rock","20 Jazz Funk Greats",1979-01-01,04:20,80,21,0,66,77,20,10,-22,G#/A♭,3,2025-05-26,7cgZ2Wwqfh98q8ViBAJjp5,"Mute",4B,GBYFG1100048
154,"All Comes Back to You","Morphose, Sven Friedrich",17,128,"ebm, synthpop, darkwave","Electronic, Pop","The Open Shutter",2023-10-13,04:04,63,66,0,49,50,0,10,-9,G#/A♭,4,2025-05-26,0yt7mGeEnUpH8jqzGptjvm,"METAMORPHOSE",4B,DEPI82308157
155,"Green and Grey","New Model Army",38,108,"post-punk, gothic rock, deathrock","Rock","Thunder And Consolation",1989-03-15,04:56,50,76,4,0,20,0,10,-11,E minor,4,2025-05-26,438dn5q6uKBht0ENboLZwE,"Parlophone UK",9A,GBAYE8900182
156,"Words Unspoken","Night in Athens",49,140,"darkwave, cold wave, post-punk, ebm, gothic rock","Electronic, Rock","Wasted Reflektions",2024-07-01,04:47,64,73,4,64,57,0,30,-7,G minor,4,2025-05-26,0prarPTFil0Q1Uz5Wueumn,"Wave Records Brasilien",6A,FRX452466057
157,"Making Plans for Nigel","Nouvelle Vague, Camille",52,120,"lounge, französischer jazz","Easy Listening","Nouvelle vague",2004-05-11,03:32,74,41,36,1,59,0,10,-12,A,4,2025-05-26,1wLGaZpnYpcFggvtmCPWUh,"[PIAS] Recordings France",11B,GBEWK0400026
158,"Farben","Orange Sector",61,123,"ebm, industrial","Electronic, Rock","Farben",2016-12-09,03:03,80,84,2,53,66,0,30,-3,C♯/D♭ minor,4,2025-05-26,47uoSjqgclu4zjv3TV6aBG,"Infacted Recordings",12A,DEKV21612531
159,"Unveiling The Secret","Psyche",31,134,"ebm, synthpop, cold wave, darkwave, industrial, deathrock","Electronic, Rock, Pop","Unveiling The Secret",1986-12-20,07:00,79,76,2,78,38,0,10,-7,G,4,2025-05-26,1xVHaXRcQGToEMgHkY383j,"Psyche Enterprises",9B,CAAD20500684
160,"Ghost","Ruined Conflict",33,135,"ebm, synthpop, industrial, darkwave","Electronic, Rock, Pop","Dying Light",2020-06-26,04:47,47,85,0,23,16,0,10,-7,G,4,2025-05-26,3hWUheLOrTQUuiT25lmssG,"Infacted Recordings",9B,DEKV21800803
161,"Amnesia","Frozen Plasma, [:SITD:]",15,116,"ebm, industrial, synthpop, darkwave","Electronic, Rock, Pop","Amnesia",2025-02-07,04:43,54,91,5,49,89,0,10,-10,A minor,4,2025-05-26,443dpyAB1ML26t8KBYmJXf,"The Devil Is Female",8A,DEZC62574743
162,"Intoxication","Dionnysuss, Sad Madona",34,119,"darkwave, cold wave, post-punk, gothic rock, witch house","Electronic, Rock","Intoxication",2025-02-07,03:04,59,73,13,47,38,0,20,-11,G#/A♭,4,2025-05-26,10sIgVRVjYRLNrjEg1WWoK,"The System",4B,QM4TW2566527
163,"⁠Remember","Silver Tears, Curses, Skelesys",34,75,"cold wave, darkwave, post-punk, ebm, gothic rock, indie dance, italo dance, electroclash, italo disco","Electronic, Rock, Pop","Silver Tears",2025-05-23,03:12,44,94,0,74,78,0,60,-5,B minor,4,2025-05-26,6HTgYFcKo2j9MKyc5DON7Y,"Avant! Records",10A,ITFRN1800346
164,"Heartbreak","SKEMER",15,130,"cold wave, darkwave, deathrock, post-punk, ebm, gothic rock","Electronic, Rock","Benevolence",2019-10-25,04:02,55,66,0,88,8,0,0,-10,D,4,2025-05-26,145dy8L9t99ilNQbdl7qfW,"Avant! Records",10B,ITFRN1800077
165,"Tear It Up","Soror Dolorosa",20,140,"gothic rock, deathrock, cold wave, darkwave, post-punk","Electronic, Rock","Mond",2024-10-04,03:35,53,81,0,0,15,0,10,-3,B,4,2025-05-26,0mVgD57Rn2SGjZUiAgZoVH,"Prophecy Productions",1B,DES562411469
166,"Black Cathedral","This Cold Night",53,158,"darkwave, cold wave, post-punk, gothic rock, deathrock","Electronic, Rock","While I Disappear",2016-01-02,02:55,67,61,57,78,51,0,10,-8,C,4,2025-05-26,6SQHBJhkZJHoul8PJ8EHXC,"No Nothing Never.",8B,QMPKX1601566
167,"Grey Skies","Turquoise Days",37,148,"cold wave, darkwave, post-punk, synthpop, new wave","Electronic, Rock, Pop","Alternative Strategies",2009-00-00,04:18,63,86,19,0,93,0,10,-5,C,4,2025-05-26,2wlEhVv8g8fqZzD6jZxCMW,"Minimal Wave",8B,US8YW1010024
168,"The Source","Void Vision",30,166,"cold wave, darkwave, post-punk, ebm, synthpop","Electronic, Rock, Pop","Sub Rosa",2014-11-11,03:57,51,68,0,86,51,0,0,-11,E minor,4,2025-05-26,6A4snFb9miP0qntHu1hOsN,"Mannequin",9A,USV351466790
169,"A Million Little Pieces","Placebo",52,174,"britpop","Pop, Rock","Loud Like Love",2013-09-16,04:41,52,86,1,5,70,0,20,-7,C♯/D♭,4,2025-05-26,1aSbQpJBWFSnNywdSTL7LQ,"Elevator Lady Ltd",3B,DEUM71301916
