#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
69,"Willow Dance","The Ðevil & the Uñiverse",15,96,"darkwave, dark ambient, ebm, cold wave, industrial","Electronic, Rock, New Age","Folk Horror",2017-09-22,03:26,53,83,0,78,46,0,10,-10,D,4,2022-05-29,1OHaTK2qZt8OF7azIakM1b,"Aufnahme + Wiedergabe",10B,DEZ651714049
70,"Never Enough","Aesthetic Perfection",34,196,"ebm, industrial, industrial metal, darkwave, industrial rock, synthpop","Electronic, Rock, Metal, Pop","Blood Spills Not Far From The Wound",2015-10-16,04:59,44,82,1,0,42,0,30,-7,C♯/D♭ minor,4,2022-05-29,1wkPPdTyD9nzDtHZPXiDyB,"Metropolis Records",12A,US57M1599806
71,"Once In A Lifetime","Wolfsheim",43,124,"ebm, synthpop, darkwave, industrial","Electronic, Rock, Pop","Spectators",1999-02-01,03:41,59,90,3,0,79,0,10,-7,B,4,2022-05-29,5qWCZ0QQ9Xq4s8E5uOiNhG,"Strange Ways Records",1B,DEE029801560
72,"Find You're Gone","Wolfsheim",38,120,"ebm, synthpop, darkwave, industrial","Electronic, Rock, Pop","Casting Shadows",2003-04-07,04:23,69,83,2,8,85,0,0,-4,F minor,4,2022-05-29,13OoB5BIXincTLw8GcjbNT,"Strange Ways Records",4A,DEE020300300
73,"Roadkill","Silent Runners",39,105,"darkwave, cold wave, post-punk, gothic rock, deathrock, ebm","Electronic, Rock","The Directory",2017-12-07,04:19,59,79,6,75,25,0,0,-9,B minor,4,2022-05-29,0KK6ZjOud4VGZMIzSIxyGP,"Silent Runners",10A,QZANL1772054
74,"Strangers in the Night","Principe Valiente",0,128,"darkwave, post-punk, cold wave, gothic rock, deathrock","Electronic, Rock","Oceans",2017-05-12,04:50,49,94,1,98,71,0,0,-8,C♯/D♭,4,2022-06-01,2vj0sJqCNmm0t7vkRbiv0p,"Afmusic",3B,DEHC81700003
75,"This Is Us","Agent Side Grinder",0,138,"cold wave, darkwave, post-punk, ebm, deathrock, gothic rock, synthpop","Electronic, Rock, Pop","Alkimia",2015-03-25,03:54,56,92,0,6,81,0,10,-2,A minor,4,2022-06-01,3IPIQTwKdRrqez3lF4Z2dO,"Progress Productions",8A,SEYFX1401401
76,"She","Clan of Xymox",37,140,"darkwave, gothic rock, deathrock, post-punk, cold wave, ebm, new wave, industrial","Electronic, Rock, Pop","Spider on the Wall",2020-07-24,04:45,46,89,0,15,61,0,30,-6,G#/A♭,4,2022-06-01,1ulgvmJX4L5kNky7tjPlJ8,"Trisol",4B,FRX281961386
77,"Swamp Thing","The Chameleons",47,99,"post-punk, gothic rock, darkwave, deathrock, new wave, cold wave","Electronic, Rock, Pop","Strange Times",1986-01-01,05:56,36,75,0,19,30,0,0,-8,A#/B♭ minor,4,2022-06-01,2pwdD26Y1GsIhrAOETKzQS,"Geffen",3A,USIR10001501
78,"Tears","Boy Harsher",0,130,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock, synthpop","Electronic, Rock, Pop","Careful",2019-02-01,04:57,74,94,16,79,94,0,0,-6,G#/A♭,4,2022-06-01,4M66Umj8LV4XC9z4O3D5sn,"Nude Club",4B,DED621900007
79,"The Storm","Hante.",34,107,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock, witch house, synthpop","Electronic, Rock, Pop","Fer Fall And Rise",2014-12-10,05:14,54,71,8,3,12,0,10,-8,G minor,4,2022-06-01,2ZWwQ6naTYS7z95zWrv8xn,"HELENE VAUVREY",6A,SEYOK1501132
80,"Sadness Is Rebellion","Lebanon Hanover",52,140,"darkwave, cold wave, post-punk, gothic rock, deathrock","Electronic, Rock","Tomb for Two",2013-10-10,03:43,76,80,17,59,97,0,10,-9,A minor,4,2022-06-01,2nlZXuEOc2jtntW37SBRTT,"FABRIKA RECORDS",8A,TCABS1372912
81,"The Style Is Death","Forever Grey",53,125,"darkwave, cold wave, post-punk, gothic rock, deathrock","Electronic, Rock","Alabaster Chamber",2016-07-13,03:57,78,55,1,80,52,0,10,-12,C,4,2022-06-01,3BMBp3Ope7onUWMUCyZ2ok,"Forever Grey",8B,ushm81605945
82,"Final Service","Ritual Howls",27,146,"darkwave, cold wave, post-punk, gothic rock, deathrock","Electronic, Rock","Turkish Leather",2014-09-30,05:56,45,89,1,77,58,0,0,-7,G minor,4,2022-06-01,122IqvyGaKdVdSmSRzZcqF,"felte",6A,QMGEB1401705
83,"Ghosts Again","Depeche Mode",53,115,"new wave, synthpop, darkwave","Electronic, Pop, Rock","Ghosts Again",2023-02-09,03:58,59,75,0,3,33,0,10,-5,F#/G♭ minor,4,2023-04-30,3TiVl5igD6Z5Pw6R5sp8YV,"Columbia",11A,USQX92206015
84,"Arms Of A Cross","Blacklist",0,143,"deathrock, gothic rock, darkwave, post-punk, cold wave, neo-psychedelic","Electronic, Rock","Arms Of A Cross",2023-02-24,06:02,46,88,0,12,52,0,10,-9,D#/E♭ minor,4,2023-04-30,6S1kVs20en9wFx0lx3nXsv,"Profound Lore",2A,USN682228712
85,"Webs","Jadu Heart",24,117,"indie soul","R&B","Derealised",2023-01-20,04:10,59,77,46,19,7,0,10,-6,D#/E♭,3,2023-04-30,1qbedIE4PwjH62Tg2yRCd8,"VLF Records",5B,UKQY82200033
86,"The Hardest Feeling","Human Tetris",37,84,"post-punk, darkwave, cold wave, gothic rock","Electronic, Rock","Two Rooms",2023-04-26,04:01,43,83,1,94,84,0,0,-6,A minor,4,2023-04-30,4Twwl8SlRLnmK2WYurR2J4,"Human Tetris",8A,TCAHA2326006
87,"Slow Disco","INVSN",16,102,"schwedischer pop, post-punk, cold wave","Electronic, Rock","Let The Night Love You",2022-06-03,04:38,56,73,0,54,15,0,40,-8,E,4,2023-04-30,3S7ljOixsoXAwsG4CXXfip,"Clouds Hill",12B,DELK22100374
88,"One For Your Workout","Get Well Soon",25,180,"deutscher indie","","Amen",2022-03-25,04:02,47,92,0,33,64,0,0,-5,F,4,2023-04-30,3t46RCU3VzsdZ7AAc3wJD5,"Virgin Music UK",7B,GB2DY2100921
89,"Paralyzed","Glaring",44,97,"darkwave, cold wave, post-punk, gothic rock","Electronic, Rock","Paralyzed",2022-05-15,02:25,43,62,0,92,24,0,20,-10,D,4,2023-04-30,0ECf6YrheBrgqZpnFpuE1r,"Squall Recordings",10B,GX5MX2214551
90,"Broken","The Haunted Youth",0,154,"","","Dawn Of The Freak",2022-11-04,04:45,43,84,0,66,41,0,20,-8,G#/A♭ minor,4,2023-04-30,5n4mNEN0wnFOvoob4VVx4W,"Mayway Records",1A,BEKE52100080
91,"Roman Holiday","Fontaines D.C.",1,121,"post-punk","Rock","Skinty Fia",2022-04-22,04:28,49,67,0,0,36,0,0,-7,C,4,2023-04-30,7MWIc6p9uOACLHGzzP9On7,"Partisan Records",8B,USBQU2100090
92,"DOOM HYPE","Moderat",0,120,"electronica, idm","Electronic","MORE D4TA",2022-05-13,04:06,65,74,45,59,34,0,0,-10,G,4,2023-04-30,653qG3PC58QJmSIY8J1leL,"Monkeytown Records",9B,DEOE82200018
93,"I Could Be Your Safe Place","Bleach Lab",38,149,"dream pop","Pop, Rock","If You Only Feel It Once",2022-11-04,03:18,49,90,0,6,52,0,10,-6,C♯/D♭ minor,4,2023-04-30,1CpkVqU8BWFfi8VPVo7zr2,"Nettwerk Music Group",12A,CAN112200491
94,"Last In The Club","Buzz Kull",23,134,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock, industrial","Electronic, Rock","Fascination",2022-11-25,05:08,67,74,9,95,58,0,0,-6,C,3,2023-04-30,49rb0cCG2QWD9RAhwAGU09,"Avant! Records",8B,ITFRN1800197
95,"Asphalt Meadows","Death Cab for Cutie",35,145,"","","Asphalt Meadows",2022-09-16,04:05,62,58,2,0,56,0,10,-9,G,5,2023-04-30,7xjbn0bhs7zx7E1s0lCqT3,"Atlantic Records",9B,USAT22204468
96,"Cold Hand","Forever Grey",22,145,"darkwave, cold wave, post-punk, gothic rock, deathrock","Electronic, Rock","Sympathy Garden",2022-04-01,02:59,72,71,0,84,92,0,10,-8,A,4,2023-04-30,5UtOdqxSB4IgJSRA75OvNU,"Forever Grey",11B,uscgh2254743
97,"The Prodigal","Placebo",37,112,"britpop","Pop, Rock","Never Let Me Go",2022-03-25,04:46,54,75,0,11,50,0,20,-8,C♯/D♭ minor,4,2023-04-30,5DhGPP9NqtOzP7jhvcDr8c,"So Recordings",12A,GBAJC2100214
98,"Looking For Something","CASTLEBEAT",52,146,"bedroom pop, dream pop, lo-fi indie","Pop, Rock, Electronic","Half Life",2022-07-27,03:09,48,84,1,84,37,0,30,-6,A,4,2023-04-30,3igEfREloyWh3Y8m4cS8QB,"Spirit Goth Records",11B,GX4R52274848
99,"Run Away With Me","Paradise Blossom",43,145,"dream pop, bedroom pop","Pop, Rock","Sunset Getaway",2022-08-26,02:54,55,54,59,87,34,0,20,-12,C♯/D♭ minor,4,2023-04-30,6Uq4gI8yOfN9WWvMXyCrJh,"BIRTHDIY",12A,GX5MX2284029
100,"Into","CASTLEBEAT",36,75,"bedroom pop, dream pop, lo-fi indie","Pop, Rock, Electronic","Half Life",2022-07-27,03:59,45,71,6,78,68,0,10,-8,F,4,2023-04-30,22lOyosVUdyq7X0P7rzbWy,"Spirit Goth Records",7B,GBSMU9950949
101,"Pistol","Cigarettes After Sex",3,110,"dream pop","Pop, Rock","Pistol",2022-11-15,03:54,65,44,52,71,37,0,10,-12,G,4,2023-04-30,2nD9CUfMMUVxL0UyFs8fGG,"Partisan Records",9B,USBQU2200331
