#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
45,"All Cats Are Grey","The Cure",24,110,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Faith",1981-04-10,05:27,64,45,24,92,34,0,0,-14,A,4,2019-11-25,5UAle2VVdezfk8fcPvWCmX,"UMC (Universal Music Catalogue)",11B,GBALB8100004
46,"Untitled #4 - Njósnavélin","Sigur Rós",48,117,"post-rock, dream pop","Pop, Rock","( )",2002-02-16,06:57,20,42,41,75,12,0,10,-12,C,4,2019-11-25,3fjoFeVDK2ifrZ4yOCwFYC,"Krunk",8B,GBKEE1400380
47,"The Ghost In You","Siouxsie and the Banshees",28,120,"gothic rock, post-punk, darkwave, new wave, deathrock, cold wave","Electronic, Rock, Pop","Superstition (Expanded Edition)",1991-06-10,05:12,63,73,50,34,57,0,0,-7,G#/A♭,4,2019-11-25,1ML9YGxYVVl8XkLzgSozBU,"UMC (Universal Music Catalogue)",4B,GBAKW9101037
48,"If two Worlds kiss","Pink Turns Blue",25,131,"gothic rock, post-punk, darkwave, deathrock, cold wave","Electronic, Rock","If Two Worlds Kiss",1987-04-01,04:59,67,52,3,0,62,0,10,-11,B minor,4,2019-11-25,7sieaD33V2h06d5Z324kqr,"Orden",10A,DEAA10600106
49,"The Eternal - 2007 Remaster","Joy Division",0,110,"post-punk, new wave, gothic rock, darkwave, madchester, cold wave","Electronic, Rock, Pop","Closer",1980-00-00,06:04,51,47,75,10,33,0,10,-14,D,4,2019-11-25,5Acb7rT3Mb43EHC4mW2W6J,"WM UK",10B,GBAAP0600158
50,"Mercy Street - Remastered","Peter Gabriel",36,93,"art rock","Rock","So (Special Edition)",1986-05-19,06:17,57,30,36,0,4,0,0,-17,C♯/D♭ minor,4,2019-11-25,3PdLOqHknR6Gd4M5ZMDh7K,"Real World Productions Ltd.",12A,GBCPB1200867
51,"Great Expectations","Elbow",29,124,"","","Leaders Of The Free World",2005-01-01,05:05,48,37,83,0,11,0,10,-11,C,3,2019-11-25,3cdTeogvLynMACalaBxbQD,"UMC (Universal Music Catalogue)",8B,GBBLK0500162
52,"Salty Seas","Devics",37,85,"slowcore","Rock","Push the Heart",2006-03-07,04:13,46,16,88,0,4,0,10,-13,C minor,3,2019-11-25,3pJwLuwMTAm3muARPQVlXm,"Splinter Records",5A,US8570500013
53,"Hurt","Johnny Cash",75,90,"klassischer country, outlaw country, country","Country","American IV: The Man Comes Around",2002-01-01,03:36,53,39,65,0,16,0,0,-8,A minor,4,2019-11-25,28cnXtME493VX9NOw9cIUh,"American Recordings Catalog P&D",8A,USDJ20200650
54,"Let Down","Radiohead",0,102,"art rock, alternative rock","Rock","OK Computer",1997-05-28,04:59,35,67,0,12,14,0,10,-9,A,4,2019-11-25,4aOAzvRdOsZSwZIgwcdeL0,"XL Recordings",11B,GBAYE9701374
55,"The Sound of Beating Wings","Jeniferever",7,102,"post-rock","Rock","Choose a Bright Morning",2006-00-00,06:59,28,52,63,52,4,0,10,-8,C minor,4,2019-11-25,1hAFd6X8kkyu60zhW2VYkg,"Monotreme Records",5A,GBNTT0900016
56,"Untitled - Remastered","The Cure",37,95,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Disintegration (Remastered)",1989-05-02,06:30,66,69,63,8,19,0,10,-9,G,4,2019-11-25,7uu9polupqTfWHLVPeSsV3,"UMC (Universal Music Catalogue)",9B,GBUM71000664
57,"Atmosphere","Joy Division",50,120,"post-punk, new wave, gothic rock, darkwave, madchester, cold wave","Electronic, Rock, Pop","The Best Of",2008-03-20,04:10,56,47,17,28,43,0,0,-10,F#/G♭,4,2019-11-25,0NBgmP6Yg5xZYsnIZ0pGdo,"London Records",2B,GBAAP9500273
